Querylength,domain_token_count,path_token_count,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_path,ldl_getArg,dld_path,dld_getArg,pathLength,subDirLen,this.fileExtLen,ArgLen,ArgUrlRatio,domainUrlRatio,pathDomainRatio,NumberofDotsinURL,CharacterContinuityRate,URL_DigitCount,Extension_DigitCount,URL_Letter_Count,host_letter_count,Filename_LetterCount,Query_LetterCount,Domain_LongestWordLength,Path_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,spcharUrl,delimeter_path,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Directoryname,SymbolCount_FileName,Entropy_URL,Entropy_Domain,Entropy_Filename,Entropy_Extension,Entropy_Afterpath,class
0,8,1,60,0,8,0,0,2,0,0,0,0,0,0,2,2,0.017094018,0.94017094,0,7,0.28181818,6,-1,100,96,-1,-1,13,0,-1,0,1,0,0.051282051,NaN,-1,8,0,0,0.671774368,0.668000433,0,0,-1,1
0,9,1,8,0,9,0,0,0,0,0,0,0,0,0,2,2,0.03448276,0.87931037,0,8,0.1764706,0,-1,47,43,-1,-1,8,0,-1,0,1,0,0,NaN,-1,9,0,0,0.713937425,0.708466867,0,0,-1,1
0,3,1,26,0,3,0,0,0,0,0,0,0,0,0,3,2,0.04347826,0.84782606,0,2,0.6923077,0,-1,41,37,-1,-1,26,0,-1,0,1,0,0,NaN,-1,3,0,0,0.723953469,0.725759779,0,0,-1,1
0,4,1,16,0,4,0,0,0,0,0,0,0,0,0,3,2,0.045454547,0.84090906,0,3,0.2972973,0,-1,37,33,-1,-1,10,0,-1,0,1,0,0,NaN,-1,4,0,0,0.726292661,0.715206655,0,0,-1,1
0,3,1,21,0,3,0,0,0,0,0,0,0,0,0,3,2,0.048780486,0.8292683,0,2,0.64705884,0,-1,36,32,-1,-1,21,0,-1,0,1,0,0,NaN,-1,3,0,0,0.766528734,0.758492599,0,0,-1,1
0,4,1,16,0,4,0,0,0,0,0,0,0,0,0,3,2,0.05,0.825,0,3,0.33333334,3,-1,28,24,-1,-1,8,0,-1,0,1,0,0.075,NaN,-1,4,0,0,0.7755774,0.749049734,0,0,-1,1
0,4,1,21,0,4,0,0,0,0,0,0,0,0,0,2,2,0.051282052,0.82051283,0,3,0.6875,0,-1,33,29,-1,-1,21,0,-1,0,1,0,0,NaN,-1,4,0,0,0.79685556,0.806127812,0,0,-1,1
0,3,1,24,0,3,0,0,0,0,0,0,0,0,0,2,2,0.05263158,0.81578946,0,2,0.58064514,0,-1,32,28,-1,-1,17,0,-1,0,1,0,0,NaN,-1,3,0,0,0.755938569,0.748475264,0,0,-1,1
0,3,1,24,0,3,0,0,1,0,0,0,0,0,0,2,2,0.054054055,0.8108108,0,2,0.6333333,1,-1,30,26,-1,-1,17,0,-1,0,1,0,0.027027027,NaN,-1,3,0,0,0.809312942,0.840294143,0,0,-1,1
0,3,3,13,0.6666667,3,1,1,1,0,0,0,0,5,5,2,2,0.05,0.7,0.17857143,3,0.53571427,1,-1,31,25,-1,-1,13,2,-1,0,2,1,0.025,0,-1,4,-1,1,0.839040185,0.860668201,1,1,-1,1
